,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,neg_per
165,2020-08-27,118465000,447.75,430.634003,404.667999,402.839996,11625.339844,11665.05957,11466.469727,11379.719727,0.2479591836734694
166,2020-08-28,100406000,442.679993,447.75,430.634003,404.667999,11695.629883,11625.339844,11665.05957,11466.469727,0.29964221824686943
167,2020-08-31,118374400,498.320007,442.679993,447.75,430.634003,11775.459961,11695.629883,11625.339844,11665.05957,0.24593128390596744
168,2020-09-01,90119400,475.049988,498.320007,442.679993,447.75,11939.669922,11775.459961,11695.629883,11625.339844,0.2454031117397454
169,2020-09-02,96176100,447.369995,475.049988,498.320007,442.679993,12056.44043,11939.669922,11775.459961,11695.629883,0.20670391061452514
170,2020-09-03,87596100,407.0,447.369995,475.049988,498.320007,11458.099609,12056.44043,11939.669922,11775.459961,0.08535144713526285
171,2020-09-04,110321900,418.320007,407.0,447.369995,475.049988,11313.129883,11458.099609,12056.44043,11939.669922,0.25566037735849056
172,2020-09-08,115465700,330.209991,418.320007,407.0,447.369995,10847.69043,11313.129883,11458.099609,12056.44043,0.26184538653366585
173,2020-09-09,79465800,366.279999,330.209991,418.320007,407.0,11141.55957,10847.69043,11313.129883,11458.099609,0.284251968503937
174,2020-09-10,84930600,371.339996,366.279999,330.209991,418.320007,10919.589844,11141.55957,10847.69043,11313.129883,0.2395644283121597
175,2020-09-11,60717500,372.720001,371.339996,366.279999,330.209991,10853.549805,10919.589844,11141.55957,10847.69043,0.22914669223394055
176,2020-09-14,83020600,419.619995,372.720001,371.339996,366.279999,11056.650391,10853.549805,10919.589844,11141.55957,0.21739130434782608
177,2020-09-15,97298200,449.76001,419.619995,372.720001,371.339996,11190.320313,11056.650391,10853.549805,10919.589844,0.26869158878504673
178,2020-09-16,72279300,441.76001,449.76001,419.619995,372.720001,11050.469727,11190.320313,11056.650391,10853.549805,0.2324455205811138
179,2020-09-17,76779200,423.429993,441.76001,449.76001,419.619995,10910.280273,11050.469727,11190.320313,11056.650391,0.28043478260869564
180,2020-09-18,86406800,442.14999400000005,423.429993,441.76001,449.76001,10793.280273,10910.280273,11050.469727,11190.320313,0.2750809061488673
181,2020-09-21,109476800,449.39001500000006,442.14999400000005,423.429993,441.76001,10778.799805,10793.280273,10910.280273,11050.469727,0.25777414075286414
182,2020-09-22,79580800,424.2300110000001,449.39001500000006,442.14999400000005,423.429993,10963.639648,10778.799805,10793.280273,10910.280273,0.2859135285913529
183,2020-09-23,95074200,380.359985,424.2300110000001,449.39001500000006,442.14999400000005,10632.990234,10963.639648,10778.799805,10793.280273,0.29625509825732294
184,2020-09-24,96561100,387.790009,380.359985,424.2300110000001,449.39001500000006,10672.269531,10632.990234,10963.639648,10778.799805,0.2967509025270758
185,2020-09-25,67208500,407.339996,387.790009,380.359985,424.2300110000001,10913.55957,10672.269531,10632.990234,10963.639648,0.23041044776119404
186,2020-09-28,49719600,421.200012,407.339996,387.790009,380.359985,11117.530273,10913.55957,10672.269531,10632.990234,0.24233128834355827
187,2020-09-29,50219300,419.070007,421.200012,407.339996,387.790009,11085.25,11117.530273,10913.55957,10672.269531,0.22233300099700898
202,2020-10-20,31656300,421.940002,430.829987,439.670013,448.880005,11516.490234,11478.879883,11671.55957,11713.870117,0.0
208,2020-10-28,25451400,406.019989,424.679993,420.279999,420.630005,11004.870117,11431.349609,11358.94043,11548.280273,0.0
212,2020-11-03,34351700,423.89999400000005,400.51001,388.040009,410.829987,11160.570313,10957.610352,10911.589844,11185.589844,0.0
214,2020-11-05,28414500,438.089996,420.9800110000001,423.89999400000005,400.51001,11890.929688,11590.780273,11160.570313,10957.610352,0.0
215,2020-11-06,21706000,429.950012,438.089996,420.9800110000001,423.89999400000005,11895.230469,11890.929688,11590.780273,11160.570313,0.4
217,2020-11-10,30284200,410.359985,421.26001,429.950012,438.089996,11553.860352,11713.780273,11895.230469,11890.929688,0.0
